Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-08 00:00:00-04:00,GOOG,112.97051887386472,113.27030374499282,111.96477604604209,112.34961700439453,27166000,0.0,0.0
2021-04-09 00:00:00-04:00,GOOG,111.9161851198838,113.52002226816565,111.76810124322428,113.3633041381836,20888000,0.0,0.0
2021-04-12 00:00:00-04:00,GOOG,112.38978899596074,112.83959496595372,111.01185005334601,111.82145690917969,31318000,0.0,0.0
2021-04-13 00:00:00-04:00,GOOG,112.15272925225808,112.93331558350526,111.88591497198078,112.44036865234375,23310000,0.0,0.0
2021-04-14 00:00:00-04:00,GOOG,112.83166187326306,112.97200442011726,111.54373561170023,111.82392883300781,20220000,0.0,0.0
2021-04-15 00:00:00-04:00,GOOG,112.9219151037315,114.39070661026797,112.37738966180343,113.89790344238281,27472000,0.0,0.0
2021-04-16 00:00:00-04:00,GOOG,114.21232879155382,114.38292528035456,113.29238359340718,113.95246124267578,22596000,0.0,0.0
2021-04-19 00:00:00-04:00,GOOG,113.66581026273037,114.97853447099182,113.4607448735673,114.18257141113281,24688000,0.0,0.0
2021-04-20 00:00:00-04:00,GOOG,114.4548262808555,114.53963264487572,112.66055911154419,113.74763488769531,21774000,0.0,0.0
2021-04-21 00:00:00-04:00,GOOG,113.33205462728898,113.83145649109665,112.00891778530443,113.73078155517578,23930000,0.0,0.0
2021-04-22 00:00:00-04:00,GOOG,113.72779302411982,114.25010850896022,111.90377136783978,112.47260284423828,21096000,0.0,0.0
2021-04-23 00:00:00-04:00,GOOG,113.24377183873112,115.34402909019123,112.98291299431911,114.82231140136719,28670000,0.0,0.0
2021-04-26 00:00:00-04:00,GOOG,115.05193651505549,116.109757374062,114.74991927261289,115.38966369628906,20834000,0.0,0.0
2021-04-27 00:00:00-04:00,GOOG,115.84890593936575,115.92081012672982,114.27532267840928,114.41666412353516,31972000,0.0,0.0
2021-04-28 00:00:00-04:00,GOOG,119.3771711052767,121.62040445689436,117.77557397263499,118.0265121459961,59728000,0.0,0.0
2021-04-29 00:00:00-04:00,GOOG,119.5351321374953,120.83396289883913,119.13590577459071,120.50516510009766,39554000,0.0,0.0
2021-04-30 00:00:00-04:00,GOOG,119.24550207460459,120.36877970794184,119.12994989855207,119.52470397949219,39142000,0.0,0.0
2021-05-03 00:00:00-04:00,GOOG,119.15773073550088,119.99981633592999,118.2541459467658,118.7833023071289,33788000,0.0,0.0
2021-05-04 00:00:00-04:00,GOOG,117.52215852507553,117.9942803933567,114.64378912036356,116.75396728515625,35120000,0.0,0.0
