Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-08 00:00:00-04:00,AAPL,125.59672494440802,126.99928093380576,125.17791398584798,126.97006225585938,88844600,0.0,0.0
2021-04-09 00:00:00-04:00,AAPL,126.4246443564377,129.58038090088027,126.10322399320837,129.5414276123047,106686700,0.0,0.0
2021-04-12 00:00:00-04:00,AAPL,129.07386893551856,129.395289186928,127.23301830434795,127.82715606689453,91420000,0.0,0.0
2021-04-13 00:00:00-04:00,AAPL,128.99594759201815,131.15821847574705,128.4992004477625,130.93418884277344,91266500,0.0,0.0
2021-04-14 00:00:00-04:00,AAPL,131.43094899145666,131.48938634080065,128.2362450900617,128.59661865234375,87222800,0.0,0.0
2021-04-15 00:00:00-04:00,AAPL,130.34008581919048,131.48939338315375,130.1647588997771,131.0023956298828,89347100,0.0,0.0
2021-04-16 00:00:00-04:00,AAPL,130.8076081751269,131.16798178060714,129.81412853121648,130.67124938964844,84922400,0.0,0.0
2021-04-19 00:00:00-04:00,AAPL,130.03812614844625,131.94716375459052,129.87254870669761,131.3335418701172,94264200,0.0,0.0
2021-04-20 00:00:00-04:00,AAPL,131.50891027779352,132.00564275979164,128.38237738217003,129.64857482910156,94812300,0.0,0.0
2021-04-21 00:00:00-04:00,AAPL,128.91804235349915,130.27189547649485,127.88560952240783,130.0283966064453,68847100,0.0,0.0
2021-04-22 00:00:00-04:00,AAPL,129.58037371612286,130.66150947358742,127.99277092528317,128.5089874267578,84566500,0.0,0.0
2021-04-23 00:00:00-04:00,AAPL,128.72325347974677,131.60627194079382,128.72325347974677,130.82708740234375,78657500,0.0,0.0
2021-04-26 00:00:00-04:00,AAPL,131.32386071779356,131.54787559933953,130.08688184126248,131.2167205810547,66905100,0.0,0.0
2021-04-27 00:00:00-04:00,AAPL,131.49916682602472,131.88877406090668,130.62257655603392,130.89529418945312,66015800,0.0,0.0
2021-04-28 00:00:00-04:00,AAPL,130.81736649421998,131.5089100143574,129.619355885921,130.10635375976562,107760100,0.0,0.0
2021-04-29 00:00:00-04:00,AAPL,132.92111613572519,133.50551915656612,129.0056515648578,130.0088653564453,151101000,0.0,0.0
2021-04-30 00:00:00-04:00,AAPL,128.3531289693404,130.08683981317637,127.66160046998598,128.0414581298828,109839500,0.0,0.0
2021-05-03 00:00:00-04:00,AAPL,128.6063555356659,130.58358001612103,128.40182480933737,129.09335327148438,75135100,0.0,0.0
2021-05-04 00:00:00-04:00,AAPL,127.77848641989287,128.070688075214,123.40524078183631,124.52533721923828,137564700,0.0,0.0
2021-05-05 00:00:00-04:00,AAPL,125.84021547722773,127.05770985077288,124.64220517501703,124.76882934570312,84000900,0.0,0.0
2021-05-06 00:00:00-04:00,AAPL,124.56429785702491,126.37593028448455,123.8240591134078,126.36619567871094,78128300,0.0,0.0
2021-05-07 00:00:00-04:00,AAPL,127.66379062246624,128.0637957522919,126.3271401858517,127.03937530517578,78973300,0.22,0.0
2021-05-10 00:00:00-04:00,AAPL,126.25887677480436,126.38570115821472,123.7221806852606,123.7612075805664,88071200,0.0,0.0
2021-05-11 00:00:00-04:00,AAPL,120.49275831659119,123.19530516720471,119.78053064001386,122.84407806396484,126142800,0.0,0.0
2021-05-12 00:00:00-04:00,AAPL,120.39519702699735,121.60500079746393,119.27319817304675,119.78053283691406,112172300,0.0,0.0
2021-05-13 00:00:00-04:00,AAPL,121.5464761686261,123.0782463378904,121.23426847309511,121.9269790649414,105861300,0.0,0.0
2021-05-14 00:00:00-04:00,AAPL,123.17581868284023,124.7758841676664,122.7855571745272,124.34659576416016,81918000,0.0,0.0
2021-05-17 00:00:00-04:00,AAPL,123.73193826034131,123.83926036065176,122.12211419930365,123.19532775878906,74244600,0.0,0.0
2021-05-18 00:00:00-04:00,AAPL,123.47825894714309,123.8977887358132,121.74160317568686,121.80989837646484,63342900,0.0,0.0
2021-05-19 00:00:00-04:00,AAPL,120.16106519010208,121.8782039395482,119.86836719410006,121.65380859375,92612000,0.0,0.0
2021-05-20 00:00:00-04:00,AAPL,122.18066024691666,124.61002681126666,122.05382097524402,124.21000671386719,76857100,0.0,0.0
2021-05-21 00:00:00-04:00,AAPL,124.70758884704348,124.88320615344152,122.16114162608143,122.37578582763672,79295400,0.0,0.0
2021-05-24 00:00:00-04:00,AAPL,122.94164921888921,124.82465387319235,122.87335402183648,124.0051040649414,63092900,0.0,0.0
